#      lambda(um)  nuLnu(Lsun)
       2.0038670   5.3096991e+09
       2.0096308   5.2938825e+09
       2.0154113   5.2726619e+09
       2.0212083   5.2305552e+09
       2.0270220   5.1999508e+09
       2.0328524   5.1902470e+09
       2.0386997   5.1880864e+09
       2.0445637   5.1902732e+09
       2.0504446   5.1630481e+09
       2.0563424   5.1365874e+09
       2.0622571   5.1200947e+09
       2.0681889   5.1071100e+09
       2.0741378   5.0971225e+09
       2.0801037   5.0749074e+09
       2.0860869   5.0493473e+09
       2.0920872   5.0175474e+09
       2.0981048   5.0086682e+09
       2.1041397   5.0211337e+09
       2.1101919   4.9926088e+09
       2.1162616   4.9616095e+09
       2.1223487   4.9461403e+09
       2.1284533   4.9414691e+09
       2.1345755   4.9450528e+09
       2.1407153   4.9245567e+09
       2.1468728   4.9018610e+09
       2.1530479   4.8779590e+09
       2.1592409   4.8493935e+09
       2.1654516   4.8196812e+09
       2.1716802   4.8009438e+09
       2.1779267   4.7862332e+09
       2.1841912   4.7760235e+09
       2.1904737   4.7599304e+09
       2.1967743   4.7347972e+09
       2.2030930   4.6889871e+09
       2.2094299   4.6856748e+09
       2.2157850   4.6933777e+09
       2.2221584   4.6502726e+09
       2.2285501   4.6232228e+09
       2.2349602   4.6087830e+09
       2.2413888   4.5912483e+09
       2.2478358   4.5753101e+09
       2.2543014   4.5614398e+09
       2.2607855   4.5264110e+09
       2.2672884   4.5048707e+09
       2.2738099   4.5122847e+09
       2.2803502   4.4773954e+09
       2.2869093   4.3439424e+09
       2.2934872   4.0141314e+09
       2.3000841   4.0461584e+09
       2.3067000   4.1488495e+09
       2.3133349   4.1493224e+09
       2.3199888   3.9294725e+09
       2.3266619   3.7579994e+09
       2.3333543   3.8978580e+09
       2.3400658   3.8881605e+09
       2.3467967   3.7910218e+09
       2.3535469   3.5970138e+09
       2.3603165   3.6661602e+09
       2.3671056   3.7476139e+09
       2.3739143   3.6907608e+09
       2.3807425   3.5439023e+09
       2.3875904   3.4879493e+09
       2.3944579   3.6006897e+09
       2.4013452   3.5877965e+09
       2.4082524   3.5079421e+09
       2.4151793   3.3762771e+09
       2.4221263   3.4572820e+09
       2.4290932   3.4729144e+09
       2.4360801   3.4342750e+09
       2.4430871   3.3561543e+09
       2.4501143   3.3233683e+09
       2.4571617   3.3217294e+09
       2.4642294   3.3535496e+09
       2.4713174   3.3008288e+09
       2.4784258   3.2028570e+09
       2.4855546   3.0822536e+09
       2.4927039   3.0844701e+09
       2.4998738   3.1067799e+09
       2.5070644   3.1040685e+09
       2.5142756   3.0174719e+09
       2.5215075   3.0509831e+09
       2.5287603   3.0772824e+09
       2.5360339   3.0793190e+09
       2.5433284   3.0529671e+09
       2.5506439   3.0547536e+09
       2.5579805   3.0648785e+09
       2.5653382   3.0757697e+09
       2.5727170   3.0999631e+09
       2.5801170   3.0717896e+09
       2.5875384   3.0450999e+09
       2.5949810   3.0645628e+09
       2.6024451   3.0900578e+09
       2.6099307   3.0846344e+09
       2.6174378   3.0667169e+09
       2.6249664   3.0559879e+09
       2.6325168   3.0684407e+09
       2.6400888   3.0667902e+09
       2.6476827   3.0605384e+09
       2.6552983   3.0574788e+09
       2.6629359   3.0286017e+09
       2.6705955   3.0510121e+09
       2.6782771   3.0720556e+09
       2.6859807   3.0611407e+09
       2.6937066   3.0221075e+09
       2.7014546   3.0331301e+09
       2.7092250   3.0389511e+09
       2.7170177   3.0368942e+09
       2.7248328   3.0487852e+09
       2.7326704   3.0233197e+09
       2.7405305   3.0213667e+09
       2.7484132   3.0281639e+09
       2.7563186   3.0300495e+09
       2.7642468   3.0165307e+09
       2.7721978   2.9955250e+09
       2.7801716   2.9997708e+09
       2.7881683   3.0122796e+09
       2.7961881   3.0129173e+09
       2.8042309   2.9964199e+09
       2.8122969   2.9837128e+09
       2.8203861   2.9859156e+09
       2.8284985   2.9883954e+09
       2.8366343   2.9821225e+09
       2.8447934   2.9776619e+09
       2.8529761   2.9726860e+09
       2.8611822   2.9740805e+09
       2.8694120   2.9718914e+09
       2.8776655   2.9623436e+09
       2.8859427   2.9492338e+09
       2.8942437   2.9482096e+09
       2.9025685   2.9510606e+09
       2.9109173   2.9496785e+09
       2.9192902   2.9353265e+09
       2.9276871   2.9237064e+09
       2.9361082   2.9358045e+09
       2.9445535   2.9214062e+09
       2.9530230   2.9239411e+09
       2.9615170   2.9262283e+09
       2.9700354   2.9209203e+09
       2.9785782   2.9144948e+09
       2.9871457   2.9135020e+09
       2.9957378   2.9124402e+09
       3.0043546   2.9049528e+09
       3.0129962   2.9144208e+09
       3.0216626   2.9071841e+09
       3.0303540   2.9012909e+09
       3.0390704   2.9088344e+09
       3.0478118   2.9170656e+09
       3.0565784   2.9079791e+09
       3.0653702   2.9149511e+09
       3.0741873   2.9185531e+09
       3.0830298   2.9156068e+09
       3.0918976   2.9287823e+09
       3.1007910   2.9426215e+09
       3.1097100   2.9442307e+09
       3.1186547   2.9495094e+09
       3.1276250   2.9688703e+09
       3.1366212   2.9808097e+09
       3.1456432   3.0024118e+09
       3.1546912   3.0288266e+09
       3.1637652   3.0496975e+09
       3.1728653   3.0869272e+09
       3.1819916   3.1336360e+09
       3.1911441   3.1938815e+09
       3.2003230   3.2697842e+09
       3.2095283   3.3685778e+09
       3.2187600   3.5045389e+09
       3.2280183   3.6940884e+09
       3.2373032   3.9666841e+09
       3.2466149   4.3752232e+09
       3.2559533   5.0162608e+09
       3.2653186   6.0797936e+09
       3.2747108   7.9305812e+09
       3.2841300   1.1106317e+10
       3.2935764   1.5238016e+10
       3.3030498   1.6282642e+10
       3.3125506   1.2669255e+10
       3.3220787   8.9727141e+09
       3.3316341   6.6908291e+09
       3.3412171   5.3772006e+09
       3.3508276   4.5928274e+09
       3.3604658   4.0954884e+09
       3.3701317   3.7641314e+09
       3.3798254   3.5357697e+09
       3.3895470   3.3708915e+09
       3.3992965   3.2454707e+09
       3.4090741   3.1486649e+09
       3.4188798   3.0751120e+09
       3.4287137   3.0165687e+09
       3.4385759   2.9685291e+09
       3.4484665   2.9287157e+09
       3.4583855   2.8931707e+09
       3.4683330   2.8622857e+09
       3.4783092   2.8360126e+09
       3.4883141   2.8130753e+09
       3.4983477   2.7932005e+09
       3.5084102   2.7755774e+09
       3.5185016   2.7576317e+09
       3.5286221   2.7408488e+09
       3.5387716   2.7278233e+09
       3.5489504   2.7162761e+09
       3.5591585   2.7036034e+09
       3.5693959   2.6915371e+09
       3.5796627   2.6805280e+09
       3.5899591   2.6701918e+09
       3.6002851   2.6660600e+09
       3.6106408   2.6619879e+09
       3.6210263   2.6520918e+09
       3.6314416   2.6428231e+09
       3.6418869   2.6351363e+09
       3.6523623   2.6276758e+09
       3.6628678   2.6201529e+09
       3.6734035   2.6126372e+09
       3.6839695   2.6048009e+09
       3.6945659   2.5977923e+09
       3.7051928   2.5917615e+09
       3.7158503   2.5868081e+09
       3.7265384   2.5827484e+09
       3.7372572   2.5758910e+09
       3.7480069   2.5678294e+09
       3.7587875   2.5624509e+09
       3.7695991   2.5578430e+09
       3.7804418   2.5520204e+09
       3.7913157   2.5468993e+09
       3.8022209   2.5462549e+09
       3.8131574   2.5448144e+09
       3.8241254   2.5414273e+09
       3.8351250   2.5378570e+09
       3.8461561   2.5340635e+09
       3.8572190   2.5280973e+09
       3.8683138   2.5210781e+09
       3.8794404   2.5181887e+09
       3.8905991   2.5159626e+09
       3.9017898   2.5116028e+09
       3.9130128   2.5079434e+09
       3.9242680   2.5059941e+09
       3.9355556   2.5013383e+09
       3.9468756   2.4938746e+09
       3.9582282   2.4905548e+09
       3.9696135   2.4888234e+09
       3.9810315   2.4830758e+09
       3.9924824   2.4787051e+09
       4.0039662   2.4793890e+09
       4.0154830   2.4789262e+09
       4.0270330   2.4772135e+09
       4.0386161   2.4725271e+09
       4.0502326   2.4669877e+09
       4.0618825   2.4657986e+09
       4.0735660   2.4639962e+09
       4.0852830   2.4607160e+09
       4.0970337   2.4590031e+09
       4.1088182   2.4583405e+09
       4.1206367   2.4555470e+09
       4.1324891   2.4526388e+09
       4.1443756   2.4499943e+09
       4.1562963   2.4470642e+09
       4.1682513   2.4438947e+09
       4.1802406   2.4438139e+09
       4.1922645   2.4434127e+09
       4.2043229   2.4393244e+09
       4.2164161   2.4378670e+09
       4.2285440   2.4385918e+09
       4.2407068   2.4360720e+09
       4.2529045   2.4337740e+09
       4.2651374   2.4334204e+09
       4.2774055   2.4224186e+09
       4.2897088   2.4049110e+09
       4.3020475   2.3879183e+09
       4.3144217   2.3793689e+09
       4.3268316   2.3850906e+09
       4.3392771   2.3752527e+09
       4.3517584   2.3620285e+09
       4.3642756   2.3577879e+09
       4.3768288   2.3550954e+09
       4.3894181   2.3537589e+09
       4.4020436   2.3420800e+09
       4.4147055   2.3348624e+09
       4.4274037   2.3355492e+09
       4.4401385   2.3351589e+09
       4.4529099   2.3333374e+09
       4.4657181   2.3275778e+09
       4.4785631   2.3284988e+09
       4.4914450   2.3318919e+09
       4.5043640   2.3285553e+09
       4.5173201   2.3255085e+09
       4.5303136   2.3230145e+09
       4.5433444   2.3285070e+09
       4.5564126   2.3330788e+09
       4.5695185   2.3366942e+09
       4.5826620   2.3300019e+09
       4.5958434   2.3295502e+09
       4.6090627   2.3371805e+09
       4.6223200   2.3384986e+09
       4.6356154   2.3388588e+09
       4.6489491   2.3387221e+09
       4.6623211   2.3449819e+09
       4.6757316   2.3488302e+09
