# Photo-pion interaction rate with the SzaboProtheroe
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	2.295302e-03	2.299885e-03
6.04	2.563538e-03	2.568657e-03
6.08	2.863121e-03	2.868838e-03
6.12	3.197715e-03	3.204100e-03
6.16	3.571410e-03	3.578541e-03
6.20	3.988777e-03	3.996741e-03
6.24	4.454918e-03	4.463814e-03
6.28	4.975535e-03	4.985469e-03
6.32	5.556992e-03	5.568087e-03
6.36	6.206400e-03	6.218792e-03
6.40	6.931700e-03	6.945541e-03
6.44	7.741761e-03	7.757219e-03
6.48	8.646488e-03	8.663753e-03
6.52	9.656945e-03	9.676227e-03
6.56	1.078549e-02	1.080702e-02
6.60	1.204591e-02	1.206997e-02
6.64	1.345364e-02	1.348050e-02
6.68	1.502587e-02	1.505588e-02
6.72	1.678185e-02	1.681536e-02
6.76	1.874303e-02	1.878045e-02
6.80	2.093340e-02	2.097520e-02
6.84	2.337974e-02	2.342643e-02
6.88	2.611198e-02	2.616412e-02
6.92	2.916351e-02	2.922174e-02
6.96	3.257165e-02	3.263669e-02
7.00	3.637808e-02	3.645071e-02
7.04	4.062934e-02	4.071046e-02
7.08	4.537741e-02	4.546802e-02
7.12	5.068037e-02	5.078156e-02
7.16	5.660304e-02	5.671606e-02
7.20	6.321785e-02	6.334408e-02
7.24	7.060570e-02	7.074668e-02
7.28	7.885691e-02	7.901436e-02
7.32	8.807238e-02	8.824824e-02
7.36	9.836481e-02	9.856122e-02
7.40	1.098600e-01	1.100794e-01
7.44	1.226986e-01	1.229436e-01
7.48	1.370376e-01	1.373112e-01
7.52	1.530523e-01	1.533579e-01
7.56	1.709384e-01	1.712798e-01
7.60	1.909149e-01	1.912961e-01
7.64	2.132258e-01	2.136516e-01
7.68	2.381441e-01	2.386196e-01
7.72	2.659743e-01	2.665054e-01
7.76	2.970570e-01	2.976501e-01
7.80	3.317720e-01	3.324345e-01
7.84	3.705440e-01	3.712838e-01
7.88	4.138469e-01	4.146733e-01
7.92	4.622104e-01	4.631333e-01
7.96	5.162259e-01	5.172566e-01
8.00	5.765537e-01	5.777049e-01
8.04	6.439316e-01	6.452174e-01
8.08	7.191836e-01	7.206196e-01
8.12	8.032297e-01	8.048335e-01
8.16	8.970977e-01	8.988890e-01
8.20	1.001935e+00	1.003936e+00
8.24	1.119025e+00	1.121259e+00
8.28	1.249798e+00	1.252293e+00
8.32	1.395853e+00	1.398640e+00
8.36	1.558977e+00	1.562090e+00
8.40	1.741164e+00	1.744641e+00
8.44	1.944642e+00	1.948525e+00
8.48	2.171900e+00	2.176236e+00
8.52	2.425715e+00	2.430558e+00
8.56	2.709192e+00	2.714601e+00
8.60	3.025797e+00	3.031838e+00
8.64	3.379401e+00	3.386149e+00
8.68	3.774329e+00	3.781865e+00
8.72	4.215409e+00	4.223826e+00
8.76	4.708036e+00	4.717436e+00
8.80	5.258232e+00	5.268731e+00
8.84	5.872726e+00	5.884452e+00
8.88	6.559032e+00	6.572129e+00
8.92	7.325542e+00	7.340169e+00
8.96	8.181628e+00	8.197965e+00
9.00	9.137760e+00	9.156006e+00
9.04	1.020563e+01	1.022601e+01
9.08	1.139829e+01	1.142105e+01
9.12	1.273033e+01	1.275575e+01
9.16	1.421804e+01	1.424643e+01
9.20	1.587961e+01	1.591131e+01
9.24	1.773535e+01	1.777076e+01
9.28	1.980796e+01	1.984751e+01
9.32	2.212278e+01	2.216696e+01
9.36	2.470812e+01	2.475746e+01
9.40	2.759559e+01	2.765069e+01
9.44	3.081881e+01	3.088031e+01
9.48	3.438908e+01	3.445729e+01
9.52	3.827232e+01	3.834625e+01
9.56	4.240252e+01	4.247879e+01
9.60	4.669329e+01	4.676457e+01
9.64	5.103549e+01	5.108817e+01
9.68	5.527882e+01	5.528938e+01
9.72	5.920768e+01	5.913670e+01
9.76	6.254352e+01	6.232816e+01
9.80	6.504762e+01	6.460124e+01
9.84	6.667499e+01	6.590101e+01
9.88	6.755775e+01	6.636563e+01
9.92	6.789064e+01	6.620401e+01
9.96	6.786239e+01	6.562116e+01
10.00	6.761209e+01	6.477610e+01
10.04	6.721000e+01	6.376465e+01
10.08	6.667489e+01	6.263137e+01
10.12	6.597837e+01	6.137171e+01
10.16	6.507448e+01	5.996032e+01
10.20	6.397821e+01	5.842555e+01
10.24	6.273074e+01	5.682587e+01
10.28	6.135241e+01	5.521006e+01
10.32	5.987062e+01	5.361511e+01
10.36	5.833290e+01	5.207011e+01
10.40	5.678437e+01	5.059430e+01
10.44	5.525688e+01	4.919608e+01
10.48	5.377226e+01	4.787838e+01
10.52	5.234861e+01	4.664479e+01
10.56	5.100077e+01	4.549936e+01
10.60	4.973854e+01	4.444420e+01
10.64	4.856651e+01	4.347846e+01
10.68	4.748489e+01	4.259871e+01
10.72	4.649078e+01	4.179971e+01
10.76	4.557935e+01	4.107524e+01
10.80	4.474471e+01	4.041872e+01
10.84	4.398067e+01	3.982373e+01
10.88	4.328112e+01	3.928425e+01
10.92	4.264033e+01	3.879484e+01
10.96	4.205301e+01	3.835067e+01
11.00	4.151446e+01	3.794753e+01
11.04	4.102046e+01	3.758172e+01
11.08	4.056727e+01	3.725002e+01
11.12	4.015154e+01	3.694964e+01
11.16	3.977032e+01	3.667807e+01
11.20	3.942095e+01	3.643312e+01
11.24	3.910104e+01	3.621282e+01
11.28	3.880880e+01	3.601576e+01
11.32	3.854285e+01	3.584088e+01
11.36	3.830172e+01	3.568702e+01
11.40	3.808396e+01	3.555301e+01
11.44	3.788813e+01	3.543766e+01
11.48	3.771287e+01	3.533983e+01
11.52	3.755691e+01	3.525845e+01
11.56	3.741910e+01	3.519252e+01
11.60	3.729832e+01	3.514110e+01
11.64	3.719358e+01	3.510336e+01
11.68	3.710400e+01	3.507851e+01
11.72	3.702874e+01	3.506584e+01
11.76	3.696708e+01	3.506472e+01
11.80	3.691833e+01	3.507456e+01
11.84	3.688189e+01	3.509483e+01
11.88	3.685719e+01	3.512506e+01
11.92	3.684372e+01	3.516479e+01
11.96	3.684101e+01	3.521363e+01
12.00	3.684863e+01	3.527120e+01
12.04	3.686617e+01	3.533714e+01
12.08	3.689326e+01	3.541115e+01
