# Photo-pion interaction rate with the BB_100_0
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	0.000000e+00	0.000000e+00
6.76	0.000000e+00	0.000000e+00
6.80	0.000000e+00	0.000000e+00
6.84	0.000000e+00	0.000000e+00
6.88	0.000000e+00	0.000000e+00
6.92	0.000000e+00	0.000000e+00
6.96	0.000000e+00	0.000000e+00
7.00	0.000000e+00	0.000000e+00
7.04	0.000000e+00	0.000000e+00
7.08	0.000000e+00	0.000000e+00
7.12	4.056540e-289	2.813627e-287
7.16	1.362155e-263	5.263030e-262
7.20	2.552407e-240	5.801718e-239
7.24	4.222507e-219	5.945376e-218
7.28	9.374763e-200	8.590895e-199
7.32	4.093584e-182	2.561347e-181
7.36	4.982222e-166	2.230484e-165
7.40	2.322576e-151	7.786769e-151
7.44	5.539989e-138	1.453260e-137
7.48	8.800882e-126	1.882260e-125
7.52	1.183541e-114	2.142507e-114
7.56	1.675819e-104	2.653753e-104
7.60	3.046875e-95	4.340725e-95
7.64	8.521581e-87	1.117835e-86
7.68	4.321899e-79	5.318979e-79
7.72	4.617764e-72	5.411957e-72
7.76	1.191684e-65	1.345642e-65
7.80	8.414244e-60	9.237847e-60
7.84	1.821362e-54	1.957831e-54
7.88	1.340847e-49	1.418736e-49
7.92	3.690522e-45	3.859364e-45
7.96	4.140389e-41	4.292439e-41
8.00	2.048645e-37	2.110386e-37
8.04	4.803825e-34	4.925601e-34
8.08	5.700115e-31	5.824862e-31
8.12	3.633580e-28	3.704048e-28
8.16	1.314124e-25	1.337276e-25
8.20	2.834014e-23	2.880404e-23
8.24	3.813686e-21	3.872831e-21
8.28	3.337692e-19	3.387539e-19
8.32	1.972904e-17	2.001656e-17
8.36	8.152349e-16	8.269504e-16
8.40	2.430079e-14	2.464801e-14
8.44	5.377292e-13	5.454179e-13
8.48	9.067014e-12	9.197412e-12
8.52	1.193102e-10	1.210431e-10
8.56	1.252135e-09	1.270563e-09
8.60	1.069068e-08	1.085058e-08
8.64	7.561502e-08	7.676736e-08
8.68	4.504466e-07	4.574585e-07
8.72	2.294423e-06	2.330998e-06
8.76	1.013208e-05	1.029790e-05
8.80	3.928332e-05	3.994519e-05
8.84	1.352795e-04	1.376331e-04
8.88	4.181996e-04	4.257369e-04
8.92	1.171923e-03	1.193882e-03
8.96	3.003794e-03	3.062534e-03
9.00	7.100181e-03	7.245658e-03
9.04	1.559430e-02	1.593039e-02
9.08	3.204297e-02	3.277207e-02
9.12	6.197971e-02	6.347314e-02
9.16	1.134747e-01	1.163763e-01
9.20	1.975916e-01	2.029582e-01
9.24	3.285931e-01	3.380675e-01
9.28	5.237234e-01	5.397225e-01
9.32	8.024138e-01	8.282963e-01
9.36	1.184826e+00	1.224991e+00
9.40	1.689793e+00	1.749644e+00
9.44	2.332376e+00	2.418111e+00
9.48	3.121450e+00	3.239619e+00
9.52	4.057771e+00	4.214626e+00
9.56	5.132968e+00	5.333631e+00
