# Photo-pion interaction rate with the BPL, $\epsilon_0 = 0.085$ eV, $\alpha=3/2$, $\beta=-2.0$
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	1.665250e+03	1.655417e+03
6.04	1.825910e+03	1.815129e+03
6.08	2.002071e+03	1.990249e+03
6.12	2.195227e+03	2.182265e+03
6.16	2.407019e+03	2.392806e+03
6.20	2.639243e+03	2.623660e+03
6.24	2.893873e+03	2.876786e+03
6.28	3.173069e+03	3.154333e+03
6.32	3.479200e+03	3.458657e+03
6.36	3.814867e+03	3.792342e+03
6.40	4.182919e+03	4.158220e+03
6.44	4.586479e+03	4.559398e+03
6.48	5.028975e+03	4.999280e+03
6.52	5.514161e+03	5.481602e+03
6.56	6.046157e+03	6.010457e+03
6.60	6.629480e+03	6.590335e+03
6.64	7.269080e+03	7.226159e+03
6.68	7.970388e+03	7.923326e+03
6.72	8.739356e+03	8.687754e+03
6.76	9.582514e+03	9.525933e+03
6.80	1.050702e+04	1.044498e+04
6.84	1.152072e+04	1.145269e+04
6.88	1.263221e+04	1.255762e+04
6.92	1.385095e+04	1.376916e+04
6.96	1.518726e+04	1.509759e+04
7.00	1.665250e+04	1.655417e+04
7.04	1.825910e+04	1.815129e+04
7.08	2.002071e+04	1.990249e+04
7.12	2.195227e+04	2.182265e+04
7.16	2.407019e+04	2.392806e+04
7.20	2.639243e+04	2.623660e+04
7.24	2.893873e+04	2.876786e+04
7.28	3.173069e+04	3.154333e+04
7.32	3.479200e+04	3.458657e+04
7.36	3.814867e+04	3.792342e+04
7.40	4.182919e+04	4.158220e+04
7.44	4.586479e+04	4.559398e+04
7.48	5.028975e+04	4.999280e+04
7.52	5.514161e+04	5.481602e+04
7.56	6.046157e+04	6.010457e+04
7.60	6.629480e+04	6.590335e+04
7.64	7.269080e+04	7.226159e+04
7.68	7.970388e+04	7.923326e+04
7.72	8.739356e+04	8.687754e+04
7.76	9.582514e+04	9.525933e+04
7.80	1.050702e+05	1.044498e+05
7.84	1.152072e+05	1.145269e+05
7.88	1.263221e+05	1.255762e+05
7.92	1.385095e+05	1.376916e+05
7.96	1.518726e+05	1.509759e+05
8.00	1.665250e+05	1.655417e+05
8.04	1.825910e+05	1.815129e+05
8.08	2.002071e+05	1.990249e+05
8.12	2.195227e+05	2.182265e+05
8.16	2.407019e+05	2.392806e+05
8.20	2.639243e+05	2.623660e+05
8.24	2.893873e+05	2.876786e+05
8.28	3.173069e+05	3.154333e+05
8.32	3.479200e+05	3.458657e+05
8.36	3.814867e+05	3.792342e+05
8.40	4.182919e+05	4.158220e+05
8.44	4.586479e+05	4.559398e+05
8.48	5.028975e+05	4.999280e+05
8.52	5.514161e+05	5.481602e+05
8.56	6.046157e+05	6.010457e+05
8.60	6.629480e+05	6.590335e+05
8.64	7.269080e+05	7.226159e+05
8.68	7.970388e+05	7.923326e+05
8.72	8.739356e+05	8.687754e+05
8.76	9.582514e+05	9.525933e+05
8.80	1.050702e+06	1.044498e+06
8.84	1.152072e+06	1.145269e+06
8.88	1.263221e+06	1.255762e+06
8.92	1.385095e+06	1.376916e+06
8.96	1.518726e+06	1.509758e+06
9.00	1.665034e+06	1.655198e+06
9.04	1.823583e+06	1.812766e+06
9.08	1.992232e+06	1.980248e+06
9.12	2.167787e+06	2.154329e+06
9.16	2.346321e+06	2.330896e+06
9.20	2.522908e+06	2.504737e+06
9.24	2.690785e+06	2.668641e+06
9.28	2.840597e+06	2.812554e+06
9.32	2.961375e+06	2.924558e+06
9.36	3.046050e+06	2.996824e+06
9.40	3.095848e+06	3.030468e+06
9.44	3.117569e+06	3.032732e+06
9.48	3.119287e+06	3.012354e+06
9.52	3.108187e+06	2.977245e+06
9.56	3.089006e+06	2.933050e+06
9.60	3.063852e+06	2.882953e+06
9.64	3.032994e+06	2.828228e+06
9.68	2.994879e+06	2.768247e+06
9.72	2.948371e+06	2.702588e+06
9.76	2.894827e+06	2.633091e+06
9.80	2.835775e+06	2.562093e+06
9.84	2.772018e+06	2.491394e+06
9.88	2.705034e+06	2.422376e+06
9.92	2.636823e+06	2.356085e+06
9.96	2.569055e+06	2.293137e+06
10.00	2.502855e+06	2.233751e+06
10.04	2.439031e+06	2.178022e+06
10.08	2.378263e+06	2.126087e+06
10.12	2.321065e+06	2.078068e+06
10.16	2.267739e+06	2.033985e+06
10.20	2.218380e+06	1.993742e+06
10.24	2.172928e+06	1.957151e+06
10.28	2.131212e+06	1.923962e+06
10.32	2.092998e+06	1.893897e+06
10.36	2.058023e+06	1.866675e+06
10.40	2.026019e+06	1.842026e+06
10.44	1.996728e+06	1.819700e+06
10.48	1.969911e+06	1.799475e+06
10.52	1.945350e+06	1.781154e+06
10.56	1.922849e+06	1.764564e+06
10.60	1.902237e+06	1.749554e+06
10.64	1.883357e+06	1.735994e+06
10.68	1.866072e+06	1.723767e+06
10.72	1.850260e+06	1.712771e+06
10.76	1.835810e+06	1.702914e+06
10.80	1.822625e+06	1.694118e+06
10.84	1.810635e+06	1.686327e+06
10.88	1.799778e+06	1.679493e+06
10.92	1.789989e+06	1.673564e+06
10.96	1.781204e+06	1.668487e+06
11.00	1.773361e+06	1.664211e+06
11.04	1.766402e+06	1.660687e+06
