# Photo-pion interaction rate with the MBB, $T=225$ K, $\sigma=2$
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	0.000000e+00	0.000000e+00
6.76	1.000045e-284	7.674075e-283
6.80	8.155348e-259	3.447986e-257
6.84	3.376379e-235	8.312182e-234
6.88	1.132111e-213	1.709877e-212
6.92	4.708875e-194	4.586614e-193
6.96	3.585366e-176	2.363833e-175
7.00	7.127290e-160	3.334513e-159
7.04	5.113034e-145	1.777600e-144
7.08	1.777822e-131	4.801800e-131
7.12	3.918940e-119	8.575467e-119
7.16	6.992354e-108	1.288076e-107
7.20	1.261144e-97	2.023150e-97
7.24	2.814429e-88	4.047348e-88
7.28	9.341228e-80	1.233467e-79
7.32	5.452196e-72	6.740329e-72
7.36	6.519300e-65	7.663178e-65
7.40	1.835481e-58	2.076444e-58
7.44	1.381537e-52	1.518382e-52
7.48	3.121401e-47	3.357058e-47
7.52	2.352964e-42	2.490090e-42
7.56	6.516949e-38	6.814804e-38
7.60	7.241897e-34	7.506547e-34
7.64	3.498691e-30	3.603271e-30
7.68	7.907021e-27	8.105325e-27
7.72	8.937028e-24	9.130231e-24
7.76	5.369320e-21	5.472125e-21
7.80	1.812767e-18	1.844310e-18
7.84	3.618210e-16	3.676771e-16
7.88	4.471721e-14	4.540404e-14
7.92	3.569628e-12	3.622531e-12
7.96	1.912801e-10	1.940524e-10
8.00	7.126580e-09	7.228665e-09
8.04	1.906282e-07	1.933495e-07
8.08	3.769639e-06	3.823616e-06
8.12	5.660066e-05	5.741774e-05
8.16	6.612162e-04	6.708795e-04
8.20	6.145206e-03	6.236447e-03
8.24	4.636965e-02	4.707128e-02
8.28	2.894064e-01	2.938824e-01
8.32	1.519645e+00	1.543739e+00
8.36	6.818583e+00	6.929748e+00
8.40	2.651913e+01	2.696517e+01
8.44	9.057869e+01	9.215616e+01
8.48	2.749970e+02	2.799759e+02
8.52	7.503942e+02	7.645808e+02
8.56	1.859356e+03	1.896240e+03
8.60	4.223310e+03	4.311665e+03
8.64	8.870163e+03	9.066865e+03
8.68	1.736319e+04	1.777323e+04
8.72	3.190222e+04	3.270750e+04
8.76	5.536039e+04	5.685744e+04
8.80	9.121400e+04	9.385743e+04
8.84	1.433218e+05	1.477654e+05
8.88	2.155237e+05	2.226449e+05
8.92	3.110651e+05	3.219554e+05
8.96	4.319180e+05	4.478208e+05
9.00	5.781334e+05	6.003208e+05
9.04	7.474071e+05	7.769977e+05
9.08	9.350165e+05	9.727547e+05
9.12	1.134209e+06	1.180237e+06
9.16	1.336991e+06	1.390656e+06
9.20	1.535153e+06	1.594876e+06
9.24	1.721286e+06	1.784532e+06
9.28	1.889576e+06	1.952918e+06
9.32	2.036218e+06	2.095499e+06
9.36	2.159425e+06	2.210005e+06
9.40	2.259114e+06	2.296170e+06
9.44	2.336404e+06	2.355264e+06
9.48	2.393084e+06	2.389568e+06
9.52	2.431166e+06	2.401912e+06
