# Photo-pion interaction rate with the BB, $T=45$ K
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	0.000000e+00	0.000000e+00
6.76	0.000000e+00	0.000000e+00
6.80	0.000000e+00	0.000000e+00
6.84	0.000000e+00	0.000000e+00
6.88	0.000000e+00	0.000000e+00
6.92	0.000000e+00	0.000000e+00
6.96	0.000000e+00	0.000000e+00
7.00	0.000000e+00	0.000000e+00
7.04	0.000000e+00	0.000000e+00
7.08	0.000000e+00	0.000000e+00
7.12	0.000000e+00	0.000000e+00
7.16	0.000000e+00	0.000000e+00
7.20	0.000000e+00	0.000000e+00
7.24	0.000000e+00	0.000000e+00
7.28	0.000000e+00	0.000000e+00
7.32	0.000000e+00	0.000000e+00
7.36	0.000000e+00	0.000000e+00
7.40	0.000000e+00	0.000000e+00
7.44	0.000000e+00	7.908230e-304
7.48	1.096782e-278	6.231343e-277
7.52	6.290845e-254	2.027978e-252
7.56	2.353873e-231	4.542137e-230
7.60	8.967558e-211	1.089763e-209
7.64	5.222165e-192	4.196766e-191
7.68	6.735145e-175	3.753730e-174
7.72	2.698008e-159	1.092387e-158
7.76	4.568955e-145	1.405889e-144
7.80	4.331105e-132	1.057387e-131
7.84	2.967297e-120	5.982549e-120
7.88	1.853776e-109	3.199805e-109
7.92	1.304719e-99	1.989476e-99
7.96	1.253988e-90	1.734379e-90
8.00	1.960872e-82	2.513869e-82
8.04	5.851571e-75	7.075733e-75
8.08	3.854048e-68	4.456592e-68
8.12	6.396968e-62	7.150250e-62
8.16	3.019798e-56	3.290070e-56
8.20	4.527484e-51	4.838876e-51
8.24	2.384189e-46	2.511938e-46
8.28	4.834216e-42	5.039431e-42
8.32	4.104038e-38	4.244863e-38
8.36	1.574712e-34	1.619408e-34
8.40	2.928090e-31	2.998593e-31
8.44	2.811839e-28	2.870799e-28
8.48	1.477816e-25	1.505508e-25
8.52	4.481891e-23	4.558777e-23
8.56	8.231503e-21	8.363600e-21
8.60	9.567484e-19	9.713784e-19
8.64	7.325876e-17	7.434259e-17
8.68	3.833308e-15	3.888856e-15
8.72	1.417266e-13	1.437578e-13
8.76	3.817047e-12	3.871564e-12
8.80	7.699722e-11	7.809971e-11
8.84	1.193181e-09	1.210389e-09
8.88	1.453674e-08	1.474872e-08
8.92	1.422076e-07	1.443111e-07
8.96	1.138776e-06	1.155909e-06
9.00	7.597093e-06	7.713652e-06
9.04	4.290646e-05	4.357943e-05
9.08	2.081777e-04	2.115242e-04
9.12	8.794434e-04	8.939703e-04
9.16	3.274735e-03	3.330477e-03
9.20	1.086992e-02	1.106118e-02
9.24	3.249702e-02	3.309006e-02
9.28	8.833787e-02	9.001594e-02
9.32	2.202523e-01	2.246243e-01
9.36	5.077322e-01	5.183060e-01
9.40	1.090086e+00	1.113996e+00
9.44	2.194195e+00	2.245060e+00
9.48	4.165426e+00	4.267764e+00
9.52	7.497184e+00	7.692741e+00
