# Photo-pion interaction rate with the SP_0.05_2.0_52
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	3.944315e-02	3.921025e-02
6.04	4.324855e-02	4.299318e-02
6.08	4.742109e-02	4.714109e-02
6.12	5.199619e-02	5.168917e-02
6.16	5.701269e-02	5.667605e-02
6.20	6.251317e-02	6.214406e-02
6.24	6.854433e-02	6.813960e-02
6.28	7.515736e-02	7.471359e-02
6.32	8.240841e-02	8.192182e-02
6.36	9.035903e-02	8.982549e-02
6.40	9.907670e-02	9.849169e-02
6.44	1.086354e-01	1.079940e-01
6.48	1.191164e-01	1.184131e-01
6.52	1.306085e-01	1.298373e-01
6.56	1.432094e-01	1.423638e-01
6.60	1.570260e-01	1.560988e-01
6.64	1.721756e-01	1.711589e-01
6.68	1.887868e-01	1.876720e-01
6.72	2.070006e-01	2.057783e-01
6.76	2.269716e-01	2.256314e-01
6.80	2.488694e-01	2.473999e-01
6.84	2.728799e-01	2.712686e-01
6.88	2.992069e-01	2.974402e-01
6.92	3.280738e-01	3.261366e-01
6.96	3.597258e-01	3.576017e-01
7.00	3.944315e-01	3.921025e-01
7.04	4.324855e-01	4.299318e-01
7.08	4.742109e-01	4.714109e-01
7.12	5.199619e-01	5.168917e-01
7.16	5.701269e-01	5.667605e-01
7.20	6.251317e-01	6.214406e-01
7.24	6.854433e-01	6.813960e-01
7.28	7.515736e-01	7.471359e-01
7.32	8.240841e-01	8.192182e-01
7.36	9.035903e-01	8.982549e-01
7.40	9.907670e-01	9.849169e-01
7.44	1.086354e+00	1.079940e+00
7.48	1.191164e+00	1.184131e+00
7.52	1.306085e+00	1.298373e+00
7.56	1.432094e+00	1.423638e+00
7.60	1.570260e+00	1.560988e+00
7.64	1.721756e+00	1.711589e+00
7.68	1.887868e+00	1.876720e+00
7.72	2.070006e+00	2.057783e+00
7.76	2.269716e+00	2.256314e+00
7.80	2.488694e+00	2.473999e+00
7.84	2.728799e+00	2.712686e+00
7.88	2.992069e+00	2.974402e+00
7.92	3.280738e+00	3.261366e+00
7.96	3.597258e+00	3.576017e+00
8.00	3.944315e+00	3.921025e+00
8.04	4.324855e+00	4.299318e+00
8.08	4.742109e+00	4.714109e+00
8.12	5.199619e+00	5.168917e+00
8.16	5.701269e+00	5.667605e+00
8.20	6.251317e+00	6.214406e+00
8.24	6.854433e+00	6.813960e+00
8.28	7.515736e+00	7.471359e+00
8.32	8.240841e+00	8.192182e+00
8.36	9.035903e+00	8.982549e+00
8.40	9.907670e+00	9.849169e+00
8.44	1.086354e+01	1.079940e+01
8.48	1.191164e+01	1.184131e+01
8.52	1.306085e+01	1.298373e+01
8.56	1.432094e+01	1.423638e+01
8.60	1.570260e+01	1.560988e+01
8.64	1.721756e+01	1.711589e+01
8.68	1.887868e+01	1.876720e+01
8.72	2.070006e+01	2.057783e+01
8.76	2.269716e+01	2.256314e+01
8.80	2.488694e+01	2.473999e+01
8.84	2.728799e+01	2.712686e+01
8.88	2.992069e+01	2.974402e+01
8.92	3.280738e+01	3.261366e+01
8.96	3.597258e+01	3.576017e+01
9.00	3.944315e+01	3.921025e+01
9.04	4.324855e+01	4.299318e+01
9.08	4.742109e+01	4.714109e+01
9.12	5.199619e+01	5.168917e+01
9.16	5.701269e+01	5.667605e+01
9.20	6.251295e+01	6.214383e+01
9.24	6.852205e+01	6.811700e+01
9.28	7.498497e+01	7.453856e+01
9.32	8.177566e+01	8.127851e+01
9.36	8.873185e+01	8.816832e+01
9.40	9.566488e+01	9.500988e+01
9.44	1.023383e+02	1.015523e+02
9.48	1.084244e+02	1.074449e+02
9.52	1.134810e+02	1.122106e+02
9.56	1.170510e+02	1.153497e+02
9.60	1.189691e+02	1.166728e+02
9.64	1.194690e+02	1.164235e+02
9.68	1.189677e+02	1.150499e+02
9.72	1.178721e+02	1.129946e+02
9.76	1.164936e+02	1.106054e+02
9.80	1.149942e+02	1.080887e+02
9.84	1.134116e+02	1.055297e+02
9.88	1.117010e+02	1.029243e+02
9.92	1.097477e+02	1.001933e+02
9.96	1.075151e+02	9.732127e+01
10.00	1.050783e+02	9.439940e+01
10.04	1.024905e+02	9.151895e+01
10.08	9.978157e+01	8.874118e+01
10.12	9.702378e+01	8.610925e+01
10.16	9.430040e+01	8.365006e+01
10.20	9.167017e+01	8.137074e+01
10.24	8.916571e+01	7.926459e+01
10.28	8.680862e+01	7.732537e+01
10.32	8.461633e+01	7.555180e+01
10.36	8.259906e+01	7.394230e+01
10.40	8.075822e+01	7.249127e+01
10.44	7.908767e+01	7.118900e+01
10.48	7.757628e+01	7.002296e+01
10.52	7.621024e+01	6.897940e+01
10.56	7.497494e+01	6.804467e+01
10.60	7.385625e+01	6.720603e+01
10.64	7.284111e+01	6.645211e+01
10.68	7.191806e+01	6.577312e+01
10.72	7.107712e+01	6.516077e+01
10.76	7.030978e+01	6.460811e+01
10.80	6.960887e+01	6.410940e+01
10.84	6.896826e+01	6.365979e+01
10.88	6.838272e+01	6.325519e+01
10.92	6.784776e+01	6.289211e+01
10.96	6.735944e+01	6.256750e+01
11.00	6.691430e+01	6.227865e+01
11.04	6.650954e+01	6.202344e+01
11.08	6.614349e+01	6.180071e+01
11.12	6.581438e+01	6.160921e+01
11.16	6.552018e+01	6.144734e+01
11.20	6.525889e+01	6.131345e+01
11.24	6.502844e+01	6.120585e+01
11.28	6.482696e+01	6.112293e+01
11.32	6.465272e+01	6.106318e+01
11.36	6.450406e+01	6.102521e+01
11.40	6.437953e+01	6.100772e+01
11.44	6.427775e+01	6.100954e+01
11.48	6.419754e+01	6.102964e+01
11.52	6.413778e+01	6.106701e+01
